representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll,zero_shot_log_loss,always_point_log_loss,gated_log_loss,prior_oracle_log_loss
hybrid,conditional_scale,32,2,1,1.0,1.0,0.0,0.15,0.84375,0.14488636363636365,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651,0.5131478314621276,0.4533516422662274,0.4533516422662274,0.4533516422662274
hybrid,covariance_shear,32,2,1,1.0,1.0,0.15,0.30000000000000004,0.796875,0.11442006269592477,0.3988457155155065,0.42941431248679207,0.42941431248679207,0.4849089396760392,0.4408243042522946,0.34089750064132684,0.34089750064132684,0.3315527264844139
hybrid,pure_label_shift,32,2,1,1.0,1.0,0.15,0.3,0.6875,0.17894736842105263,0.5099677458211597,0.6629182856574365,0.6629182856574365,0.6106094475102535,0.5111746188133759,0.4499859386448386,0.4499859386448386,0.4776501795943874
hybrid,unidentifiable_concept_reversal,32,2,1,1.0,0.5,0.15000000000000002,0.3,0.71875,0.9085714285714286,2.032908663060537,2.032908663060537,2.032908663060537,2.151788625432925,1.9194452340021564,1.9194452340021564,1.9194452340021564,1.7402555426407336
learned,conditional_scale,32,2,1,1.0,1.0,0.0,0.30000000000000004,0.78125,0.11458333333333333,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651,0.5131478314621276,0.4533516422662274,0.4533516422662274,0.4533516422662274
learned,covariance_shear,32,2,1,1.0,1.0,0.15,0.30000000000000004,0.796875,0.11442006269592477,0.3988457155155065,0.42941431248679207,0.42941431248679207,0.4849089396760392,0.4408243042522946,0.34089750064132684,0.34089750064132684,0.3315527264844139
learned,pure_label_shift,32,2,1,1.0,0.5,0.3,0.30000000000000004,0.671875,0.171875,0.5099677458211597,0.5622765839683428,0.5622765839683428,0.6106094475102535,0.5111746188133759,0.483510377863827,0.483510377863827,0.4776501795943874
learned,unidentifiable_concept_reversal,32,2,1,1.0,0.5,0.30000000000000004,0.45000000000000007,0.671875,0.9522222222222222,2.032908663060537,2.0291918629673784,2.0291918629673784,2.151788625432925,1.9194452340021564,2.226858685971595,2.226858685971595,1.7402555426407336
moments,conditional_scale,32,2,1,0.0,0.0,0.0,,0.0,,0.6175592061669931,0.6713410308953651,0.6175592061669931,0.6713410308953651,0.5131478314621276,0.4533516422662274,0.5131478314621276,0.4533516422662274
moments,covariance_shear,32,2,1,1.0,1.0,0.15,0.0,1.0,0.1875,0.3988457155155065,0.42941431248679207,0.42941431248679207,0.4849089396760392,0.4408243042522946,0.34089750064132684,0.34089750064132684,0.3315527264844139
moments,pure_label_shift,32,2,1,1.0,1.0,0.15,0.15,0.890625,0.19375,0.5099677458211597,0.6629182856574365,0.6629182856574365,0.6106094475102535,0.5111746188133759,0.4499859386448386,0.4499859386448386,0.4776501795943874
