outer_target,meta_training_site,meta_early_stop_site,meta_evaluation_site,router_seed,best_epoch,validation_score,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,va_long_beach,switzerland,hungary,5062,1,0.6128682494163513,1.0,0.645366370677948,0.6128682494163513,0.6332051753997803,0.6596789360046387,0.673051655292511,0.0,0.5544339418411255,0.0,1.0756580829620361
cleveland,hungary,va_long_beach,switzerland,5062,1,0.6603869795799255,1.0,0.6444339752197266,0.6603869795799255,0.5693003535270691,0.6005107760429382,0.5578433275222778,0.0426674485206604,0.4985753893852234,0.07853876799345016,1.0747551918029785
cleveland,switzerland,hungary,va_long_beach,5062,20,0.5972797274589539,1.0,0.6098812222480774,0.600051999092102,0.6022531986236572,0.6120777130126953,0.6493777632713318,0.0,0.6545119881629944,0.007581045851111412,1.0747323036193848
cleveland,switzerland,hungary,va_long_beach,5062,20,0.5972797274589539,10.0,0.6073700785636902,0.5986846089363098,0.6000556349754333,0.6101891398429871,0.6493777632713318,0.0,0.6535843014717102,0.006653359159827232,1.0789666175842285
cleveland,switzerland,hungary,va_long_beach,5062,20,0.5972797274589539,20.0,0.603529691696167,0.5972797274589539,0.5972605347633362,0.6076310276985168,0.6493777632713318,0.0,0.6512631773948669,0.004332235082983971,1.0821744203567505
hungary,va_long_beach,switzerland,cleveland,5062,1,0.6325736045837402,1.0,0.713761568069458,0.6325736045837402,0.674800455570221,0.7368136644363403,0.7187533378601074,0.01806032657623291,0.5729367733001709,0.0,1.0756555795669556
hungary,cleveland,va_long_beach,switzerland,5062,1,0.7384768724441528,1.0,0.6449126601219177,0.7384768724441528,0.6354357600212097,0.656539261341095,0.6815714836120605,0.0,0.6152215600013733,0.0,1.0748416185379028
hungary,switzerland,cleveland,va_long_beach,5062,15,0.6555230021476746,1.0,0.6656969785690308,0.6571314930915833,0.6493446826934814,0.6841984987258911,0.6920331120491028,0.0,0.5885218381881714,0.0,1.0746409893035889
hungary,switzerland,cleveland,va_long_beach,5062,15,0.6555230021476746,10.0,0.6594867706298828,0.6557148098945618,0.6457257270812988,0.6754041910171509,0.6920331120491028,0.0,0.589390218257904,0.0,1.0781638622283936
hungary,switzerland,cleveland,va_long_beach,5062,15,0.6555230021476746,20.0,0.6507652997970581,0.6557378172874451,0.6400428414344788,0.6636509895324707,0.6920331120491028,0.0,0.5898492932319641,0.0,1.0816113948822021
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5778096318244934,1.0,0.6673077344894409,0.5897330641746521,0.6364296078681946,0.65785151720047,0.689780056476593,0.0,0.5674184560775757,0.042485885322093964,1.075738549232483
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5778096318244934,10.0,0.6618155837059021,0.5841782689094543,0.6337447762489319,0.6599337458610535,0.689780056476593,0.0,0.5570470690727234,0.03211449831724167,1.0809005498886108
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5778096318244934,20.0,0.655148446559906,0.5778096318244934,0.630447268486023,0.6643642783164978,0.689780056476593,0.0,0.5425819158554077,0.017649343237280846,1.0819369554519653
switzerland,cleveland,va_long_beach,hungary,5062,1,0.6579117774963379,1.0,0.7107698321342468,0.6579117774963379,0.5901197195053101,0.7574705481529236,0.681371808052063,0.0760987401008606,0.5598301291465759,0.0,1.0746065378189087
switzerland,hungary,cleveland,va_long_beach,5062,1,0.7564874887466431,1.0,0.6656626462936401,0.7564874887466431,0.5729320645332336,0.5909672975540161,0.5697727203369141,0.02119457721710205,0.5182374715805054,0.14838068187236786,1.0746642351150513
va_long_beach,switzerland,hungary,cleveland,5062,20,0.5516057014465332,1.0,0.6207643747329712,0.5597125887870789,0.6098554134368896,0.616085946559906,0.6469079256057739,0.0,0.5553032755851746,0.01773720048367977,1.0749157667160034
va_long_beach,switzerland,hungary,cleveland,5062,20,0.5516057014465332,10.0,0.6100001335144043,0.5554539561271667,0.6034290790557861,0.6096078157424927,0.6469079256057739,0.0,0.5466905832290649,0.009124508127570152,1.0805585384368896
va_long_beach,switzerland,hungary,cleveland,5062,20,0.5516057014465332,20.0,0.5955584645271301,0.5516057014465332,0.5937395095825195,0.5995392203330994,0.6469079256057739,0.0,0.5344132781028748,0.0,1.0809369087219238
va_long_beach,cleveland,switzerland,hungary,5062,1,0.6155592203140259,1.0,0.5583668351173401,0.6155592203140259,0.5544643998146057,0.5644184947013855,0.5923428535461426,0.0,0.5387529730796814,0.0,1.0746281147003174
va_long_beach,hungary,cleveland,switzerland,5062,17,0.5560445189476013,1.0,0.5640355348587036,0.5596747398376465,0.5482575297355652,0.5606184005737305,0.5478717684745789,0.012746632099151611,0.5499197840690613,0.008598020300269127,1.074705958366394
va_long_beach,hungary,cleveland,switzerland,5062,17,0.5560445189476013,10.0,0.5506440997123718,0.556935727596283,0.5402953028678894,0.5544943809509277,0.5478717684745789,0.006622612476348877,0.5433562397956848,0.002034476026892662,1.0792638063430786
va_long_beach,hungary,cleveland,switzerland,5062,17,0.5560445189476013,20.0,0.5383822321891785,0.556182861328125,0.5310453772544861,0.547875702381134,0.5478717684745789,3.933906555175781e-06,0.536212146282196,0.0,1.0802745819091797
