outer_target,meta_training_site,meta_early_stop_site,meta_evaluation_site,router_seed,best_epoch,validation_score,epoch,objective,validation_robust_risk,mean_group_risk,robust_group_risk,best_expert_robust_risk,robust_regret,natural_risk,natural_noninferiority_penalty,routing_entropy
cleveland,va_long_beach,switzerland,hungary,5062,20,0.6080045700073242,1.0,0.8042828440666199,0.613322913646698,0.6851990818977356,0.8938754200935364,0.8658844828605652,0.02799093723297119,0.504915177822113,0.003651132807135582,1.0754467248916626
cleveland,va_long_beach,switzerland,hungary,5062,20,0.6080045700073242,10.0,0.7970728278160095,0.610749363899231,0.6837409734725952,0.8868851661682129,0.8658844828605652,0.021000683307647705,0.5059511065483093,0.004687061533331871,1.084159255027771
cleveland,va_long_beach,switzerland,hungary,5062,20,0.6080045700073242,20.0,0.7850655317306519,0.6080045700073242,0.6814910173416138,0.8751577734947205,0.8658844828605652,0.009273290634155273,0.5076486468315125,0.006384601816534996,1.0877689123153687
cleveland,hungary,va_long_beach,switzerland,5062,20,0.8818380236625671,1.0,0.504858672618866,0.8941335082054138,0.48168817162513733,0.5301787257194519,0.5393528938293457,0.0,0.40518179535865784,0.0,1.0747761726379395
cleveland,hungary,va_long_beach,switzerland,5062,20,0.8818380236625671,10.0,0.50385582447052,0.8894689679145813,0.48083940148353577,0.529037594795227,0.5393528938293457,0.0,0.40465766191482544,0.0,1.0826447010040283
cleveland,hungary,va_long_beach,switzerland,5062,20,0.8818380236625671,20.0,0.5021754503250122,0.8818380236625671,0.47956064343452454,0.5269630551338196,0.5393528938293457,0.0,0.40410134196281433,0.0,1.086389183998108
cleveland,switzerland,hungary,va_long_beach,5062,20,0.529763400554657,1.0,0.6920881867408752,0.5302783250808716,0.5837342739105225,0.6139428019523621,0.5942617654800415,0.019681036472320557,0.6726740598678589,0.16896747052669525,1.0745888948440552
cleveland,switzerland,hungary,va_long_beach,5062,20,0.529763400554657,10.0,0.6806248426437378,0.5300192832946777,0.5819015502929688,0.6094534993171692,0.5942617654800415,0.015191733837127686,0.6605636477470398,0.15685705840587616,1.077027678489685
cleveland,switzerland,hungary,va_long_beach,5062,20,0.529763400554657,20.0,0.6669228672981262,0.529763400554657,0.5798380970954895,0.6043117642402649,0.5942617654800415,0.010049998760223389,0.6455057263374329,0.14179913699626923,1.076608657836914
hungary,va_long_beach,switzerland,cleveland,5062,1,0.6551207900047302,1.0,0.7172872424125671,0.6551207900047302,0.6886345744132996,0.7182987332344055,0.6885066032409668,0.02979212999343872,0.6202149391174316,0.0,1.0754631757736206
hungary,cleveland,va_long_beach,switzerland,5062,20,0.7074284553527832,1.0,0.6221477389335632,0.7168776392936707,0.5556522607803345,0.6317014098167419,0.5891364216804504,0.042564988136291504,0.5168023705482483,0.016526242718100548,1.0746911764144897
hungary,cleveland,va_long_beach,switzerland,5062,20,0.7074284553527832,10.0,0.61236971616745,0.7120647430419922,0.5521987080574036,0.62623131275177,0.5891364216804504,0.03709489107131958,0.5116273760795593,0.011351248249411583,1.0683799982070923
hungary,cleveland,va_long_beach,switzerland,5062,20,0.7074284553527832,20.0,0.6008517146110535,0.7074284553527832,0.5482404828071594,0.6194276213645935,0.5891364216804504,0.030291199684143066,0.5061334371566772,0.005857309326529503,1.0566260814666748
hungary,switzerland,cleveland,va_long_beach,5062,9,0.6309672594070435,1.0,0.6865960359573364,0.6314591765403748,0.639097273349762,0.6555075645446777,0.6509103178977966,0.0045972466468811035,0.6715986132621765,0.07613908499479294,1.0745173692703247
hungary,switzerland,cleveland,va_long_beach,5062,9,0.6309672594070435,10.0,0.6791480183601379,0.630971372127533,0.6367635130882263,0.6522345542907715,0.6509103178977966,0.0013242363929748535,0.6656020283699036,0.07014250010251999,1.084380865097046
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5477914810180664,1.0,0.842922031879425,0.5485221743583679,0.6909359097480774,0.9352337718009949,0.8734082579612732,0.06182551383972168,0.49560797214508057,0.0,1.0755794048309326
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5477914810180664,10.0,0.8328936696052551,0.548200786113739,0.6879047751426697,0.9267302751541138,0.8734082579612732,0.053322017192840576,0.49492478370666504,0.0,1.0848530530929565
switzerland,va_long_beach,hungary,cleveland,5062,20,0.5477914810180664,20.0,0.8218263387680054,0.5477914810180664,0.6845824718475342,0.9173305630683899,0.8734082579612732,0.0439223051071167,0.49419787526130676,0.0,1.0913136005401611
switzerland,cleveland,va_long_beach,hungary,5062,1,0.9351455569267273,1.0,0.6180071830749512,0.9351455569267273,0.49176841974258423,0.6052604913711548,0.49698516726493835,0.10827532410621643,0.4598682224750519,0.03285946696996689,1.0746426582336426
switzerland,hungary,cleveland,va_long_beach,5062,1,0.5887771844863892,1.0,0.5042490363121033,0.5887771844863892,0.4620858430862427,0.5485613942146301,0.5637328028678894,0.0,0.36906933784484863,0.0,1.0746129751205444
va_long_beach,switzerland,hungary,cleveland,5062,12,0.4643908441066742,1.0,0.6731610894203186,0.46443796157836914,0.6317479610443115,0.6731863021850586,0.6469079256057739,0.026278376579284668,0.5548252463340759,0.01725917123258114,1.0747638940811157
va_long_beach,switzerland,hungary,cleveland,5062,12,0.4643908441066742,10.0,0.6620864272117615,0.4643957316875458,0.6273053288459778,0.6658007502555847,0.6469079256057739,0.01889282464981079,0.5519005656242371,0.014334490522742271,1.0802242755889893
va_long_beach,cleveland,switzerland,hungary,5062,1,0.6746808290481567,1.0,0.5350244045257568,0.6746808290481567,0.5114265084266663,0.5351740717887878,0.5144702196121216,0.02070385217666626,0.5058348774909973,0.004893651232123375,1.0746339559555054
va_long_beach,hungary,cleveland,switzerland,5062,1,0.5296082496643066,1.0,0.45382967591285706,0.5296082496643066,0.4462577998638153,0.46355104446411133,0.4780377447605133,0.0,0.4330364167690277,0.0,1.074775218963623
