prevalence,energy_statistic,p_value,accepted,scenario,experiment,variant,seed
0.05,1.603145665553895,0.005,False,label_mar,pooled_erm,v0,6101
0.1,1.5483217738424038,0.005,False,label_mar,pooled_erm,v0,6101
0.15,1.4319203988046176,0.005,False,label_mar,pooled_erm,v0,6101
0.2,1.2963901007784624,0.005,False,label_mar,pooled_erm,v0,6101
0.25,1.196199116711325,0.005,False,label_mar,pooled_erm,v0,6101
0.3,1.1259996748011858,0.005,False,label_mar,pooled_erm,v0,6101
0.35,0.9296372486524526,0.005,False,label_mar,pooled_erm,v0,6101
0.4,0.8980124405267325,0.005,False,label_mar,pooled_erm,v0,6101
0.45,0.6575522924009255,0.005,False,label_mar,pooled_erm,v0,6101
0.5,0.5768961214177507,0.005,False,label_mar,pooled_erm,v0,6101
0.55,0.4787762092607902,0.005,False,label_mar,pooled_erm,v0,6101
0.6,0.35804295508538964,0.005,False,label_mar,pooled_erm,v0,6101
0.65,0.27276216544229476,0.005,False,label_mar,pooled_erm,v0,6101
0.7,0.21910361839571077,0.005,False,label_mar,pooled_erm,v0,6101
0.75,0.05784121871532705,0.825,True,label_mar,pooled_erm,v0,6101
0.8,0.10787932461400208,0.095,True,label_mar,pooled_erm,v0,6101
0.85,0.20046882082064613,0.005,False,label_mar,pooled_erm,v0,6101
0.9,0.37235113215827303,0.005,False,label_mar,pooled_erm,v0,6101
0.95,0.4567459976672151,0.005,False,label_mar,pooled_erm,v0,6101
0.05,1.8096987516790126,0.005,False,label_mar,prior_separated,v2,6101
0.1,1.6471657190362796,0.005,False,label_mar,prior_separated,v2,6101
0.15,1.5659617125054541,0.005,False,label_mar,prior_separated,v2,6101
0.2,1.4421384941863842,0.005,False,label_mar,prior_separated,v2,6101
0.25,1.3101849840890731,0.005,False,label_mar,prior_separated,v2,6101
0.3,1.1248729217549924,0.005,False,label_mar,prior_separated,v2,6101
0.35,1.0618673187219116,0.005,False,label_mar,prior_separated,v2,6101
0.4,0.9272007891803327,0.005,False,label_mar,prior_separated,v2,6101
0.45,0.8475348222531256,0.005,False,label_mar,prior_separated,v2,6101
0.5,0.6960279272580707,0.005,False,label_mar,prior_separated,v2,6101
0.55,0.6277099141585999,0.005,False,label_mar,prior_separated,v2,6101
0.6,0.48899357420808465,0.005,False,label_mar,prior_separated,v2,6101
0.65,0.3427142884615797,0.005,False,label_mar,prior_separated,v2,6101
0.7,0.18754488006171963,0.01,False,label_mar,prior_separated,v2,6101
0.75,0.17070703224650474,0.005,False,label_mar,prior_separated,v2,6101
0.8,0.15028148480675405,0.015,False,label_mar,prior_separated,v2,6101
0.85,0.24866588712505114,0.005,False,label_mar,prior_separated,v2,6101
0.9,0.38755397994763463,0.005,False,label_mar,prior_separated,v2,6101
0.95,0.4465192079453875,0.005,False,label_mar,prior_separated,v2,6101
0.05,2.062557999826738,0.005,False,label_mar,structured_policy_bank,v4,6101
0.1,1.9591199051407457,0.005,False,label_mar,structured_policy_bank,v4,6101
0.15,1.8390463606575675,0.005,False,label_mar,structured_policy_bank,v4,6101
0.2,1.66322179048855,0.005,False,label_mar,structured_policy_bank,v4,6101
0.25,1.5747543132710635,0.005,False,label_mar,structured_policy_bank,v4,6101
0.3,1.3325982028448122,0.005,False,label_mar,structured_policy_bank,v4,6101
0.35,1.281250491312676,0.005,False,label_mar,structured_policy_bank,v4,6101
0.4,1.0838224759096728,0.005,False,label_mar,structured_policy_bank,v4,6101
0.45,1.0104716606667286,0.005,False,label_mar,structured_policy_bank,v4,6101
0.5,0.9169267117737867,0.005,False,label_mar,structured_policy_bank,v4,6101
0.55,0.7266398906212027,0.005,False,label_mar,structured_policy_bank,v4,6101
0.6,0.6743992828147166,0.005,False,label_mar,structured_policy_bank,v4,6101
0.65,0.5203750622327621,0.005,False,label_mar,structured_policy_bank,v4,6101
0.7,0.38394397492301624,0.005,False,label_mar,structured_policy_bank,v4,6101
0.75,0.3133915983144329,0.005,False,label_mar,structured_policy_bank,v4,6101
0.8,0.2521045935016851,0.005,False,label_mar,structured_policy_bank,v4,6101
0.85,0.2807950080334231,0.005,False,label_mar,structured_policy_bank,v4,6101
0.9,0.33281969214911367,0.005,False,label_mar,structured_policy_bank,v4,6101
0.95,0.44170019458115256,0.005,False,label_mar,structured_policy_bank,v4,6101
0.05,1.9925869886190437,0.005,False,label_mar,site_only_dro,v5_site,6101
0.1,1.8767923805086675,0.005,False,label_mar,site_only_dro,v5_site,6101
0.15,1.730656437120219,0.005,False,label_mar,site_only_dro,v5_site,6101
0.2,1.5966511618123025,0.005,False,label_mar,site_only_dro,v5_site,6101
0.25,1.5523881235408332,0.005,False,label_mar,site_only_dro,v5_site,6101
0.3,1.3537921412040719,0.005,False,label_mar,site_only_dro,v5_site,6101
0.35,1.2464787284143715,0.005,False,label_mar,site_only_dro,v5_site,6101
0.4,1.0693035781992593,0.005,False,label_mar,site_only_dro,v5_site,6101
0.45,0.9584246968772119,0.005,False,label_mar,site_only_dro,v5_site,6101
0.5,0.9079827313583563,0.005,False,label_mar,site_only_dro,v5_site,6101
0.55,0.7411151011848215,0.005,False,label_mar,site_only_dro,v5_site,6101
0.6,0.6605719762044193,0.005,False,label_mar,site_only_dro,v5_site,6101
0.65,0.5773999536239836,0.005,False,label_mar,site_only_dro,v5_site,6101
0.7,0.46972009564392225,0.005,False,label_mar,site_only_dro,v5_site,6101
0.75,0.35688698484978426,0.005,False,label_mar,site_only_dro,v5_site,6101
0.8,0.305297618190381,0.005,False,label_mar,site_only_dro,v5_site,6101
0.85,0.29581781400811313,0.005,False,label_mar,site_only_dro,v5_site,6101
0.9,0.3145874111184202,0.005,False,label_mar,site_only_dro,v5_site,6101
0.95,0.43865405395792134,0.005,False,label_mar,site_only_dro,v5_site,6101
0.05,1.8942695548339044,0.005,False,label_mar,mask_only_dro,v5_mask,6101
0.1,1.7824942596526505,0.005,False,label_mar,mask_only_dro,v5_mask,6101
0.15,1.6886953441483594,0.005,False,label_mar,mask_only_dro,v5_mask,6101
0.2,1.5274242695871472,0.005,False,label_mar,mask_only_dro,v5_mask,6101
