view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,scenario,experiment,variant,seed,fit_seed,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
evidence,0.8,0.000573178170790547,0.00978673064342232,0.95,True,0.05,32,0.7996722332466182,label_only,prior_separated,v2,9161,300323819,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.75,0.002619395033920101,0.019496269167208938,0.9,True,0.05,32,2.341321671150231,label_only,prior_separated,v2,9161,300323819,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.7,0.0036790031181191197,0.015371300313339026,0.8,True,0.05,32,4.403871025252088,label_only,prior_separated,v2,9161,300323819,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.75,0.002509400492235932,0.019349786548915563,1.0,True,0.05,96,,label_only,prior_separated,v2,9161,300323819,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.8,0.0003567370617057193,0.02695696782749294,0.95,True,0.05,32,0.9770465263673348,label_only,structured_policy_bank,v4,9161,1901277285,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.75,0.005433986016427055,0.017206904199579733,0.45,True,0.05,32,2.341321671150231,label_only,structured_policy_bank,v4,9161,1901277285,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.65,0.004173987060240883,0.015319165663544198,0.95,True,0.05,32,4.403871025252088,label_only,structured_policy_bank,v4,9161,1901277285,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.8,0.004006065554457906,0.013523159890948815,0.9,True,0.05,96,,label_only,structured_policy_bank,v4,9161,1901277285,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.85,0.0013189040543846054,0.015132107862075035,0.8,True,0.05,32,0.8205175345427549,label_only,mask_only_dro,v5_mask,9161,1135209094,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
core,0.75,0.0012317260099669034,0.024160238971479092,0.9,True,0.05,32,2.341321671150231,label_only,mask_only_dro,v5_mask,9161,1135209094,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
mask,0.6,0.002769080108049471,0.014823114770830434,1.0,True,0.05,32,4.403871025252088,label_only,mask_only_dro,v5_mask,9161,1135209094,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
composite,0.8,0.002909743326580465,0.020743403655005876,1.0,True,0.05,96,,label_only,mask_only_dro,v5_mask,9161,1135209094,composite_multiview_v3,True,True,True,0.3625,0.15384615384615385,0.23076923076923078
evidence,0.85,0.010752302204927055,0.01583060567515622,0.15,True,0.05,32,0.9862224575667842,mar_policy_shift,prior_separated,v2,9161,2756264704,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
core,0.75,0.004427886843473265,0.011998156280990472,0.5,True,0.05,32,2.341321671150231,mar_policy_shift,prior_separated,v2,9161,2756264704,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
mask,0.95,0.014854903276324917,0.02697526383236441,0.2,True,0.05,32,4.647103841036899,mar_policy_shift,prior_separated,v2,9161,2756264704,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
composite,0.85,0.011941661104615132,0.01601018545698281,0.2,True,0.05,96,,mar_policy_shift,prior_separated,v2,9161,2756264704,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
evidence,0.9,0.012511626543182088,0.024912926199154084,0.1,True,0.05,32,0.9699873803779036,mar_policy_shift,structured_policy_bank,v4,9161,2424076370,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
core,0.75,0.003183187275775103,0.021778422100857547,0.7,True,0.05,32,2.341321671150231,mar_policy_shift,structured_policy_bank,v4,9161,2424076370,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
mask,0.95,0.013457520379620579,0.02460273578634453,0.2,True,0.05,32,4.647103841036899,mar_policy_shift,structured_policy_bank,v4,9161,2424076370,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
composite,0.85,0.01210892996084894,0.026789519971901814,0.2,True,0.05,96,,mar_policy_shift,structured_policy_bank,v4,9161,2424076370,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
evidence,0.8,0.004597050504195468,0.010944545616198294,0.35,True,0.05,32,0.9877281532474718,mar_policy_shift,mask_only_dro,v5_mask,9161,3942424521,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
core,0.75,0.0038389038884315127,0.013200468736344196,0.6,True,0.05,32,2.341321671150231,mar_policy_shift,mask_only_dro,v5_mask,9161,3942424521,composite_multiview_v3,True,True,True,0.2375,0.15384615384615385,0.23076923076923078
