scenario,experiment,variant,seeds,mean_roc_auc,mean_balanced_log_loss,mean_equal_log_loss,mean_adapted_log_loss,mean_soft_bbse_log_loss,mean_prevalence_absolute_error,mean_soft_bbse_prevalence_absolute_error,diagnostic_acceptance_rate,mean_adapted_minus_equal_log_loss
conditional_only,structured_policy_bank,v4,1,0.8748353096179183,0.4685271625483516,0.43386057092746927,0.29862675350776036,0.30389856318555203,0.006552094953965137,0.048849952401040175,1.0,-0.1352338174197089
conditional_only,mask_only_dro,v5_mask,1,0.8537549407114625,0.523722683231479,0.6733579325789608,0.5241540286462453,0.559353079950398,0.22075935892137233,0.2566697375266347,1.0,-0.14920390393271554
conditional_only,prior_separated,v2,1,0.6811594202898551,0.90558164027429,1.1514352384038724,1.205749065163532,1.196774258560382,0.3972657591504926,0.3916241099000645,1.0,0.05431382675965968
label_only,mask_only_dro,v5_mask,1,0.9960474308300395,0.12649527216198053,0.18670275457035596,0.08588936309255527,0.08750697568910326,0.028384702880334567,0.03613462053468641,1.0,-0.10081339147780069
label_only,prior_separated,v2,1,0.9670619235836628,0.24692097005100586,0.3968407233734312,0.24212884117408215,0.2357037019620578,0.09199166619534538,0.07963089071737095,1.0,-0.15471188219934903
label_only,structured_policy_bank,v4,1,0.9459815546772068,0.31359703451533383,0.40976466303689224,0.2400096678317749,0.2392877773741536,0.0739313084994806,0.07229955916547304,1.0,-0.16975499520511733
mar_policy_shift,structured_policy_bank,v4,1,0.9894598155467721,0.10223238260072394,0.11477266852808284,0.10273812183073941,0.10416354337777012,0.013532326228408165,0.023849603501803762,1.0,-0.012034546697343426
mar_policy_shift,prior_separated,v2,1,0.9881422924901185,0.1610056781334131,0.201953184015645,0.12175697758052095,0.12099372926153165,0.008699780135372981,0.02008308803794423,1.0,-0.08019620643512404
mar_policy_shift,mask_only_dro,v5_mask,1,0.9143610013175231,0.3862278668763651,0.4205658486484635,0.24845662960888423,0.25316459994406737,0.002884248035905035,0.04592311056484233,1.0,-0.1721092190395793
mnar_outcome_only,prior_separated,v2,1,0.9907773386034255,0.15512101786874438,0.25298595750854513,0.1329207125503347,0.13101148826385392,0.057311711168404944,0.052083999901631595,1.0,-0.12006524495821044
mnar_outcome_only,mask_only_dro,v5_mask,1,0.9920948616600791,0.1668251297832855,0.26310544563734706,0.12629007296217729,0.12463834198611383,0.054161662538524946,0.049412494763920733,1.0,-0.13681537267516977
mnar_outcome_only,structured_policy_bank,v4,1,0.994729907773386,0.1897188198484527,0.32410714652079614,0.1927661168605484,0.19713644630254787,0.08253711742799585,0.09166795602432176,1.0,-0.13134102966024774
