view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,scenario,experiment,variant,seed,fit_seed,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
evidence,0.8,0.0008370887928088476,0.001154808055388424,0.21,True,0.05,128,0.8284149447399001,label_only,prior_separated,v2,6101,2477225302,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
core,0.85,0.0004325900028797087,0.003211733985325691,0.915,True,0.05,128,2.2875073073285166,label_only,prior_separated,v2,6101,2477225302,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
mask,0.8,0.0011052612817772608,0.002370739134859491,0.765,True,0.05,128,4.372421259884169,label_only,prior_separated,v2,6101,2477225302,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
composite,0.8,0.0009177123165960825,0.002130183982430446,0.8,True,0.05,384,,label_only,prior_separated,v2,6101,2477225302,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0007487657214463616,0.001369861352281755,0.315,True,0.05,128,0.8856728683981618,label_only,structured_policy_bank,v4,6101,306837060,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
core,0.85,0.0005387115411572443,0.0034029571422146882,0.88,True,0.05,128,2.2875073073285166,label_only,structured_policy_bank,v4,6101,306837060,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
mask,0.8,0.0012504079425152597,0.0029595628912863145,0.675,True,0.05,128,4.372421259884169,label_only,structured_policy_bank,v4,6101,306837060,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
composite,0.8,0.0009535122554235578,0.0023771970667527138,0.76,True,0.05,384,,label_only,structured_policy_bank,v4,6101,306837060,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0004926750396852626,0.0012292864363292102,0.45,True,0.05,128,0.9181562579511446,label_only,mask_only_dro,v5_mask,6101,2343300185,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
core,0.85,0.00048515273974749653,0.0030915045250570006,0.86,True,0.05,128,2.2875073073285166,label_only,mask_only_dro,v5_mask,6101,2343300185,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
mask,0.8,0.0009040404923505848,0.0024238080465359855,0.78,True,0.05,128,4.372421259884169,label_only,mask_only_dro,v5_mask,6101,2343300185,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
composite,0.8,0.0007277873343709965,0.0022603505647315015,0.945,True,0.05,384,,label_only,mask_only_dro,v5_mask,6101,2343300185,composite_multiview_v3,True,True,True,0.564,0.07692307692307693,0.15384615384615385
evidence,0.85,0.0007839850580500027,0.0011781563363549826,0.29,True,0.05,128,0.8450004441150376,label_only,prior_separated,v2,6102,1124355091,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
core,0.85,0.000444414101397051,0.0030475259192709577,0.86,True,0.05,128,2.278885548961548,label_only,prior_separated,v2,6102,1124355091,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
mask,0.75,0.001520095839509579,0.002343746994127772,0.32,True,0.05,128,4.359965410344444,label_only,prior_separated,v2,6102,1124355091,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
composite,0.85,0.0010750893479129445,0.002080804224930093,0.655,True,0.05,384,,label_only,prior_separated,v2,6102,1124355091,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0009317779446903255,0.0013378890803776627,0.165,True,0.05,128,0.9341354030978947,label_only,structured_policy_bank,v4,6102,3971818895,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
core,0.85,0.0004912215158276389,0.0031263292148196427,0.835,True,0.05,128,2.278885548961548,label_only,structured_policy_bank,v4,6102,3971818895,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
mask,0.75,0.001204371256726648,0.0024493701541160057,0.62,True,0.05,128,4.359965410344444,label_only,structured_policy_bank,v4,6102,3971818895,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
composite,0.8,0.0009315111929826303,0.002220687746942396,0.725,True,0.05,384,,label_only,structured_policy_bank,v4,6102,3971818895,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0009690731541776421,0.0012083470994222498,0.12,True,0.05,128,0.9644828260572185,label_only,mask_only_dro,v5_mask,6102,1433028870,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
core,0.8,0.000543819393086526,0.0026496552334634702,0.815,True,0.05,128,2.278885548961548,label_only,mask_only_dro,v5_mask,6102,1433028870,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
mask,0.75,0.0014753775112794692,0.002618217950502397,0.42,True,0.05,128,4.359965410344444,label_only,mask_only_dro,v5_mask,6102,1433028870,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
composite,0.8,0.0010494398528518216,0.0023633327736991465,0.675,True,0.05,384,,label_only,mask_only_dro,v5_mask,6102,1433028870,composite_multiview_v3,True,True,True,0.55,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0002018726265174633,0.0012682933192655974,0.7,True,0.05,128,0.8367965538286835,label_only,prior_separated,v2,6103,1591195831,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
core,0.8,0.0003306064847009635,0.0027904127830925976,0.94,True,0.05,128,2.29053180589574,label_only,prior_separated,v2,6103,1591195831,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
mask,0.8,0.0017700110062516814,0.002741713683106442,0.325,True,0.05,128,4.381388104311736,label_only,prior_separated,v2,6103,1591195831,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
composite,0.8,0.0007674967058233688,0.001918069013595849,0.94,True,0.05,384,,label_only,prior_separated,v2,6103,1591195831,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0003862627053314775,0.0015060758047473624,0.625,True,0.05,128,0.9345235829708844,label_only,structured_policy_bank,v4,6103,3179229048,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
core,0.8,0.0003562917320154297,0.003067537253206628,0.88,True,0.05,128,2.29053180589574,label_only,structured_policy_bank,v4,6103,3179229048,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
mask,0.75,0.0019886928144072493,0.002502744416827049,0.2,True,0.05,128,4.381388104311736,label_only,structured_policy_bank,v4,6103,3179229048,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
composite,0.8,0.000950651114480321,0.0022277645192703044,0.765,True,0.05,384,,label_only,structured_policy_bank,v4,6103,3179229048,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0006273331255205434,0.0010717161121249772,0.345,True,0.05,128,0.9757971819653412,label_only,mask_only_dro,v5_mask,6103,2020698806,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
core,0.8,0.00037953254534451534,0.002606203592803082,0.865,True,0.05,128,2.29053180589574,label_only,mask_only_dro,v5_mask,6103,2020698806,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
mask,0.8,0.001343460501052724,0.0024798254148226755,0.495,True,0.05,128,4.381388104311736,label_only,mask_only_dro,v5_mask,6103,2020698806,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
composite,0.8,0.0007834420573059283,0.0019613335597203044,0.84,True,0.05,384,,label_only,mask_only_dro,v5_mask,6103,2020698806,composite_multiview_v3,True,True,True,0.534,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0005391638706334472,0.0010721816196531235,0.38,True,0.05,128,0.7847538456996759,mar_policy_shift,prior_separated,v2,6101,1457634134,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
core,0.85,0.00039539664544914856,0.0029191261645231947,0.88,True,0.05,128,2.2875073073285166,mar_policy_shift,prior_separated,v2,6101,1457634134,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
mask,0.95,0.017023174450669774,0.003204476651504616,0.005,False,0.05,128,4.635455630333173,mar_policy_shift,prior_separated,v2,6101,1457634134,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
composite,0.8,0.008304992859076965,0.0019989750803698857,0.005,False,0.05,384,,mar_policy_shift,prior_separated,v2,6101,1457634134,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
evidence,0.75,0.0024586601263817624,0.0014901236095903065,0.015,False,0.05,128,0.9131747404044275,mar_policy_shift,structured_policy_bank,v4,6101,3753795950,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
core,0.85,0.0006406250015424742,0.0036361782972725975,0.81,True,0.05,128,2.2875073073285166,mar_policy_shift,structured_policy_bank,v4,6101,3753795950,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
mask,0.95,0.01585990797859866,0.0032125332923892344,0.005,False,0.05,128,4.635455630333173,mar_policy_shift,structured_policy_bank,v4,6101,3753795950,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
composite,0.8,0.009082295483009895,0.002287264340289003,0.005,False,0.05,384,,mar_policy_shift,structured_policy_bank,v4,6101,3753795950,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
evidence,0.75,0.0036148191784390483,0.001436195479314366,0.005,False,0.05,128,0.8898352287598938,mar_policy_shift,mask_only_dro,v5_mask,6101,3974742394,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
core,0.85,0.0005521217442253628,0.003059895773449702,0.79,True,0.05,128,2.2875073073285166,mar_policy_shift,mask_only_dro,v5_mask,6101,3974742394,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
mask,0.95,0.01470521854333151,0.0032031087840287903,0.005,False,0.05,128,4.635455630333173,mar_policy_shift,mask_only_dro,v5_mask,6101,3974742394,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
composite,0.8,0.009240857023135839,0.0021504291450912564,0.005,False,0.05,384,,mar_policy_shift,mask_only_dro,v5_mask,6101,3974742394,composite_multiview_v3,False,True,True,0.458,0.07692307692307693,0.15384615384615385
evidence,0.8,0.0004293533872883462,0.001341680815857397,0.54,True,0.05,128,0.8462887544376241,mar_policy_shift,prior_separated,v2,6102,1205430258,composite_multiview_v3,False,True,True,0.438,0.07692307692307693,0.15384615384615385
core,0.85,0.0005454231218941378,0.0033451981980816984,0.835,True,0.05,128,2.278885548961548,mar_policy_shift,prior_separated,v2,6102,1205430258,composite_multiview_v3,False,True,True,0.438,0.07692307692307693,0.15384615384615385
