scenario,experiment,variant,seeds,mean_roc_auc,mean_balanced_log_loss,mean_equal_log_loss,mean_adapted_log_loss,mean_soft_bbse_log_loss,mean_prevalence_absolute_error,mean_soft_bbse_prevalence_absolute_error,diagnostic_acceptance_rate,mean_adapted_minus_equal_log_loss
conditional_only,structured_policy_bank,v4,3,0.8840960829924113,0.5548834925019149,0.5318306468631229,0.43360241945953854,0.44443958221270835,0.07100580797500274,0.10192334850566413,0.0,-0.09822822740358433
conditional_only,mask_only_dro,v5_mask,3,0.8848940026943635,0.5632260815800799,0.5504019944762869,0.45596712496155983,0.4651468921157526,0.07191203712892924,0.1002528523242076,0.0,-0.09443486951472707
conditional_only,prior_separated,v2,3,0.8619119565761274,0.6365321327293003,0.5961181007275234,0.4961584865387482,0.5051330803916078,0.08321602667825707,0.10636750910151382,0.0,-0.09995961418877514
label_only,structured_policy_bank,v4,3,0.9918654541412598,0.12321370535140112,0.12331742153384308,0.09909982913359967,0.099081110801916,0.004632685337844555,0.004674636534271248,1.0,-0.024217592400243404
label_only,mask_only_dro,v5_mask,3,0.9899829215321837,0.13393134851944707,0.12473048484454763,0.10155891183758309,0.10158609195275366,0.002727648079444922,0.004696764749856104,1.0,-0.02317157300696454
label_only,prior_separated,v2,3,0.989819832956004,0.14820043894157583,0.14504120192847747,0.1173182338331971,0.11744637434766457,0.006960348185073517,0.00990255100802336,1.0,-0.027722968095280368
mar_policy_shift,structured_policy_bank,v4,3,0.9784848160295093,0.20048733761963078,0.17617711824326912,0.14688656201922237,0.14632616277533622,0.00972380962340765,0.012228053037694512,0.0,-0.02929055622404675
mar_policy_shift,mask_only_dro,v5_mask,3,0.976037520596695,0.21418759905916548,0.18450154168434196,0.1559777592103787,0.15559529497071356,0.012759227580704432,0.015259328847166334,0.0,-0.028523782473963255
mar_policy_shift,prior_separated,v2,3,0.9581845019742189,0.29268009414045926,0.23562456445414556,0.20646348150076585,0.20627865221677555,0.012938200324187021,0.011566068960268608,0.0,-0.029161082953379713
mnar_outcome_only,mask_only_dro,v5_mask,3,0.9934175311109753,0.12799892668542615,0.1680288927527426,0.10637216337115372,0.10839702904700295,0.02831069338678327,0.040744055594459226,0.0,-0.06165672938158888
mnar_outcome_only,structured_policy_bank,v4,3,0.993029475940617,0.13023766285478225,0.1724389975104074,0.11153017191828059,0.11336603047016065,0.028219521485599402,0.03883313775292411,0.0,-0.060908825592126806
mnar_outcome_only,prior_separated,v2,3,0.9917206075434529,0.14252363492274145,0.17900491597371407,0.12140399374245954,0.12180750624902685,0.024630478556311026,0.02757626584697333,0.0,-0.05760092223125453
