outer_target,inner_validation,model,weighting,parameter_id,parameters_json,seed,fit_seed,fit_seconds,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,3850963155,2.126331099992967,294.0,0.36054421768707484,0.8893014853472501,0.8187030413559083,0.5956909768820537,0.5190218971189307,0.20266516414622718,0.17208218160086736,0.7380952380952381,0.784925732637495,0.7240143369175627,0.5838150289017341,0.9528301886792453,0.7641509433962265,-1.8294334218625854,1.5875416766798343,0.209065625656782
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5063,2966780135,0.8400170999957481,294.0,0.36054421768707484,0.8883982336411079,0.808759551614677,0.59006706485512,0.5151941029466109,0.199640800262855,0.16993270483559977,0.7346938775510204,0.7802087515054195,0.7194244604316546,0.5813953488372093,0.9433962264150944,0.7641509433962265,-1.78321783296514,1.5643142500806122,0.20685514619213105
cleveland,hungary,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5064,2283594036,0.8090501999977278,294.0,0.36054421768707484,0.8893516659975914,0.8158911326747074,0.5920672330718628,0.5178627768241832,0.20128525867095468,0.17148134531244114,0.7414965986394558,0.7875853071055801,0.7266187050359713,0.5872093023255814,0.9528301886792453,0.7641509433962265,-1.8051692776281802,1.6284460758917993,0.20673562939594126
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,732131093,0.8848698000074364,123.0,0.9349593495934959,0.7565217391304349,0.9689665180048207,0.5369126824948961,0.6190377087549056,0.1776976332163007,0.20596267210360175,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.6086956521739131,2.5814700456104287,0.7691745379905001,0.160816550771163
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5063,767492516,0.820030200004112,123.0,0.9349593495934959,0.7630434782608696,0.9709147365791153,0.5786769737333993,0.6145942118049079,0.19373561299835487,0.20484560579913735,0.7479674796747967,0.6907608695652174,0.848780487804878,0.9666666666666667,0.7565217391304347,0.6347826086956522,2.684228248167647,0.756152679834266,0.1912412924428145
cleveland,switzerland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5064,475379960,0.7995197999989614,123.0,0.9349593495934959,0.7608695652173914,0.970236666396917,0.5641856211838085,0.621342655550879,0.18783900456537045,0.20560745442850412,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.6521739130434783,2.6230236574502555,0.7318214438615503,0.17988879351839798
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,380456683,0.9944606999924872,200.0,0.745,0.7243058297144361,0.8678769329108824,0.5517691766141722,0.6749949643306035,0.1838496479407012,0.22476818717260147,0.72,0.6702197657586524,0.8041958041958042,0.8394160583941606,0.7718120805369127,0.42953020134228187,0.7202557912081772,0.5938475757663799,0.16297264296429637
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5063,2762854470,0.8480424000008497,200.0,0.745,0.7208843268851164,0.8663325893402383,0.5614488495850438,0.6766068858909441,0.1879677803891455,0.22523496372964105,0.72,0.6766679826292934,0.8028169014084507,0.8444444444444444,0.7651006711409396,0.436241610738255,0.7493888043735596,0.5857952149948348,0.1701650865706881
cleveland,va_long_beach,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5064,3332241522,0.8322700000135228,200.0,0.745,0.7264113699170942,0.8701880451062299,0.5595773912986082,0.6769221133134851,0.18686040494511516,0.22451036510106567,0.725,0.673575470456639,0.8083623693379791,0.8405797101449275,0.7785234899328859,0.4228187919463087,0.7455804826178558,0.5761662679456474,0.16439846268432112
hungary,cleveland,tabpfn,pooled,0,"{""device"": ""cuda"", ""n_estimators"": 8, ""version"": ""v3""}",5062,571367561,0.9347648999973899,303.0,0.45874587458745875,0.7995262326723986,0.785989061074375,0.7771658137324738,0.7339668690912664,0.2860319824368029,0.2675436357520445,0.45874587458745875,0.5,0.6289592760180995,0.45874587458745875,1.0,0.6546762589928058,-2.4573926166976383,1.8375815835833118,0.30344984269879194
