method,track,policy,decision_threshold,aggregation,hospital_count,n_total,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier
psmask:v2_prior_separated,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7756810051960895,0.725937709706517,0.8287977083157806,0.7871449255029636,0.8035443100960342,0.8183222613744907,0.15462140220765883
psmask:v3_mcar_augmentation,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7663032052956416,0.72024887873643,0.8123447832741344,0.7707397011626347,0.7877033181522446,0.803982814141414,0.1575828665748502
psmask:v5_site_mask_dro_brier,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7725956956073905,0.7330130111170123,0.8344951023887817,0.7703593733741693,0.7991400490360383,0.8120545766088467,0.1554451788329369
psmask:v4_structured_policy_bank,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7800785799709886,0.7347784604193174,0.8065783620561677,0.8116521592972772,0.8065059307471382,0.8064506454991865,0.1505868018749768
psmask:v5_site_mask_dro,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7527629134242444,0.7187503568772183,0.8184981868572486,0.74987320426595,0.779739551092464,0.8019242546835434,0.15951764393520135
psmask:v5_mask_only_dro,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7597649377307069,0.7255116576987188,0.8130821547487768,0.7705357013066535,0.787745268458418,0.8014861030595164,0.1597151086293941
psmask:v7_ane,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7654936510948257,0.7341801883808635,0.8472498547745073,0.7477063198613332,0.7914920303486337,0.8048828803801308,0.17006720690819585
classical:random_forest:site_class_balanced,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.751018083640121,0.7177372842635341,0.8187101670868955,0.7712083236274478,0.7878472134974903,0.8046285995304854,0.17783384018680554
classical:logistic:site_class_balanced,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7359343576841507,0.7074039962240284,0.8319738554244862,0.7102500211017602,0.7639771616295201,0.798880674017341,0.17665992323232227
classical:logistic:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7526872575883771,0.7247905992621552,0.8393926274952009,0.7222324165102073,0.7751299303287453,0.798880674017341,0.17312165257242174
classical:random_forest:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7463414654680998,0.7166354985201867,0.8272291471009912,0.7391153833159007,0.7756093753683966,0.804672465432439,0.1728781209069972
psmask:v5_site_only_dro,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7832925864139426,0.7138460737252044,0.8315943959005978,0.7818823445463723,0.803732812555178,0.8064839873055836,0.1510901396048668
classical:xgboost:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7256536099105182,0.7204885297113724,0.8187988483527443,0.7060505252387549,0.7509505814539581,0.7943774513429247,0.18295681459245947
psmask:v0_pooled_erm,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7736195310048676,0.7229585338126512,0.7798944971737951,0.8572703089737359,0.8073721825575619,0.8286153359350468,0.1520709142268573
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7216927025579611,0.6981568111687853,0.8209016471852024,0.681159962274687,0.7392376567843273,0.7891140979403816,0.18530232486963094
classical:logistic:pooled:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.75549485031878,0.7177468939703788,0.8502006264309706,0.7142734108433697,0.7745784710725717,0.8136760730750847,0.16310257167581596
classical:lightgbm:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7333330109392223,0.7217387273374836,0.8162860060933389,0.7182206550168578,0.7558590273099808,0.7840989785758958,0.18361240237601775
classical:xgboost:site_class_balanced,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7293766479062043,0.7222679063530397,0.8114924197787077,0.735866057829557,0.7631588752642333,0.7944370205032547,0.18123875293971026
classical:catboost:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7573059844560862,0.7191117327185018,0.8406628766503814,0.7229076361992369,0.7679475799207877,0.7970780290106465,0.17347694718329998
modern_2026:ft_transformer:pooled:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7647635393205822,0.7203292310296443,0.8573071267919117,0.7088881851888101,0.7730624648490403,0.8054131102125524,0.16831568653411308
psmask:v1_site_balanced,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7732422149009326,0.7113673587038732,0.7557113891112613,0.8920608949467433,0.8096690960873016,0.8036110277338112,0.16324252338245582
classical:core_logistic:pooled:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7533084473828169,0.7032485632771351,0.8198646825354928,0.7043437106990855,0.7570051039026274,0.7815524656148032,0.16716381168420913
mirrams:mirrams_equation9,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.6316769463158362,0.6390541533636371,0.6886676951947888,0.867225355986002,0.7297929912499677,0.7938519911644667,0.21107279931731182
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.6564231235841355,0.55307545290786,0.6644355219221835,0.7754046477899357,0.7022491359696382,0.5414718773620155,0.24551164760182242
tabpfn_v3:tabpfn:pooled:source_oof_platt,dg_zero_shot,natural,0.5,equal_hospital_macro,4,920,0.7822159379327679,0.7261937617094189,0.8615124900777424,0.7357256900295401,0.7916591035543454,0.8103043813215647,0.15854325211799186
